CASE_NUM,CRIME_DESC,CHARGE_CODE,CHARGE_DESC,CRIME_PART,ADDRESS,CITY,DATE,CATEGORY,POINT_X,POINT_Y
190015894,ALL OTHER,4801,RESISTING OFFICER,B,2100 BLOCK MEDFORD RD APT 15,ANN ARBOR,2019-04-21 14:50:00,OBSTRUCTING POLICE,-83.71190159933195,42.25684709960075
190015894,ALL OTHER,5012,PROBATION VIOLATION,B,2100 BLOCK MEDFORD RD APT 15,ANN ARBOR,2019-04-21 14:50:00,OBSTRUCTING JUSTICE,-83.71190159933195,42.25684709960075
190015868,ALL OTHER,7361,SOLICITORS / PEDDLERS - PROHIBITED HOURS OR AREA,B,PLYMOUTH RD & NIXON RD,ANN ARBOR,2019-04-21 10:35:00,OTHER - ORDINANCE VIOLATIONS,-83.7072394993832,42.302522899652445
190015784,TRESPASS OF REAL PROPERTY,5707,TRESPASS (OTHER),B,3600 BLOCK PLYMOUTH RD,ANN ARBOR,2019-04-20 14:32:00,TRESPASSING / INVASION OF PRIVACY,-83.68976999987387,42.3040707002794
190015926,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,3000 BLOCK PACKARD RD,ANN ARBOR,2019-04-21 22:07:00,PUBLIC PEACE,-83.69954959942703,42.244637500213514
190015926,ALL OTHER,5012,PROBATION VIOLATION,B,3000 BLOCK PACKARD RD,ANN ARBOR,2019-04-21 22:07:00,OBSTRUCTING JUSTICE,-83.69954959942703,42.244637500213514
190015919,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,600 BLOCK EBERWHITE BLVD,ANN ARBOR,2019-04-20 21:00:00,ASSAULT - SIMPLE,-83.76205270065333,42.274069499211805
190015933,AGGRAVATED ASSAULT,1303,AGG/FEL ASSAULT - FAMILY - STRONG ARM-DOMESTIC,A,3700 BLOCK WASHTENAW AVE,ANN ARBOR,2019-04-21 23:08:00,ASSAULT - AGGRAVATED,-83.68744420141854,42.2543903996696
190015965,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,1000 BLOCK E UNIVERSITY AVE,ANN ARBOR,2019-04-22 01:52:30,LARCENY - FROM AUTO (LFA),-83.73595499877666,42.26944899941424
190015927,MOTOR VEHICLE THEFT,2404,VEHICLE THEFT UDAA (REPORTED BY YOUR JURISDICTION),A,300 BLOCK DEPOT ST,ANN ARBOR,2019-04-19 07:15:00,MOTOR VEHICLE THEFT / FRAUD,-83.74322230019652,42.28779870012346
190015978,ALL OTHER,5015,FAILURE TO APPEAR (FTA),B,3100 BLOCK ANN ARBOR SALINE RD,ANN ARBOR,2019-04-22 10:20:00,OBSTRUCTING JUSTICE,-83.76667420045453,42.24007269961845
190015999,SHOPLIFTING,3073,RETAIL FRAUD THEFT 1ST DEGREE,A,100 BLOCK BRIARWOOD CIR,ANN ARBOR,2019-04-22 11:53:00,LARCENY - RETAIL FRAUD,-83.74757490102013,42.24036789969159
190016052,ALL OTHER,6274,LITTERING ON PUBLIC OR PRIVATE PROPERTY,B,400 BLOCK S MAPLE RD,ANN ARBOR,2019-04-22 16:46:00,OTHER - MICR OFFENSES,-83.78289389942029,42.275719300209516
190016020,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,400 BLOCK S MAPLE RD,ANN ARBOR,2019-04-20 02:00:00,LARCENY - ALL OTHER,-83.78214749970681,42.2775968000351
190016057,MOTOR VEHICLE THEFT,2404,VEHICLE THEFT UDAA (REPORTED BY YOUR JURISDICTION),A,1500 BLOCK S STATE ST,ANN ARBOR,2019-04-20 22:00:00,MOTOR VEHICLE THEFT / FRAUD,-83.74014270000083,42.262331398538606
190016028,ROBBERY,1204,ROBBERY - STREET - GUN,A,1000 BLOCK BALDWIN AVE,ANN ARBOR,2019-04-22 12:00:00,ROBBERY,-83.72665859898018,42.26926129973185
190016129,ROBBERY,1201,ROBBERY - BUSINESS - GUN,A,2500 BLOCK JACKSON AVE,ANN ARBOR,2019-04-23 06:30:00,ROBBERY,-83.78072000051719,42.28102050048176
190016083,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,300 BLOCK BRIARCREST DR,ANN ARBOR,2019-04-22 21:10:00,ASSAULT - SIMPLE,-83.7447170996308,42.24713650029844
190016083,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,300 BLOCK BRIARCREST DR,ANN ARBOR,2019-04-22 21:10:00,DAMAGE TO PROPERTY,-83.7447170996308,42.24713650029844
190016083,ALL OTHER,5005,"CONTEMPT OF COURT (PPO VIOLATION, ETC)",B,300 BLOCK BRIARCREST DR,ANN ARBOR,2019-04-22 21:10:00,OBSTRUCTING JUSTICE,-83.7447170996308,42.24713650029844
190016094,TRESPASS OF REAL PROPERTY,5707,TRESPASS (OTHER),B,200 BLOCK N MAIN ST,ANN ARBOR,2019-04-22 22:41:00,TRESPASSING / INVASION OF PRIVACY,-83.74877710139066,42.28251380091052
190016008,FORCIBLE FONDLING,1177,CSC 2ND DEGREE -FORCIBLE CONTACT,A,600 BLOCK HIDDEN VALLEY CLUB DR,ANN ARBOR,2019-04-22 01:30:00,SEX OFFENSES - CSC,-83.7422420006327,42.246956199642966
190016008,KIDNAPPING/ABDUCTION,1099,KIDNAPPING ( OTHER),A,600 BLOCK HIDDEN VALLEY CLUB DR,ANN ARBOR,2019-04-22 01:30:00,KIDNAPPING / ABDUCTION,-83.7422420006327,42.246956199642966
190016174,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,1000 BLOCK ARBORDALE ST,ANN ARBOR,2019-04-20 12:30:00,LARCENY - ALL OTHER,-83.767215400422,42.26849749995512
191000191,ALL OTHER LARCENY,2309,LARCENY - FROM YARDS (GROUNDS SURROUNDING A BUILDING),A,3000 BLOCK BREABURN CIRCLE,ANN ARBOR,2019-04-22 16:42:30,LARCENY - ALL OTHER,-83.70825410007171,42.23507590145289
191000188,ALL OTHER LARCENY,2309,LARCENY - FROM YARDS (GROUNDS SURROUNDING A BUILDING),A,700 BLOCK CATHERINE ST,ANN ARBOR,2019-04-20 13:30:00,LARCENY - ALL OTHER,-83.73998040141078,42.28287759923313
190016215,BURGLARY/BREAKING & ENTERING,2204,B&E - BURGLARY - NO FORCED ENTRY - RESIDENCE- HOME INVASION,A,1100 BLOCK GOTT ST,ANN ARBOR TWP,2019-04-23 16:24:00,BURGLARY - RESIDENTIAL,-83.75757250036582,42.29235049967127
191000181,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,900 BLOCK GREENWOOD AVE,ANN ARBOR,2019-04-22 03:15:00,LARCENY - FROM AUTO (LFA),-83.73727269956709,42.26941000127243
191000182,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,1200 BLOCK OAKLAND AVE,ANN ARBOR,2019-04-19 18:07:30,DAMAGE TO PROPERTY,-83.73390090130914,42.27009849977543
190016168,LIQUOR LAW VIOLATION,4103,"LIQUOR - TRANSPORT (OPEN CONTAINER, ETC)",B,2600 BLOCK PLYMOUTH RD,ANN ARBOR,2019-04-23 11:35:00,LIQUOR LAW VIOLATION,-83.70791599984256,42.30311299979769
191000190,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,1300 BLOCK S STATE ST,ANN ARBOR,2019-04-22 04:00:00,LARCENY - FROM AUTO (LFA),-83.74022939931604,42.2646319989023
191000192,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,1000 BLOCK VAUGHN,ANN ARBOR,2019-04-22 18:15:00,LARCENY - FROM AUTO (LFA),-83.73668950044691,42.269146900315945
190016220,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,1900 BLOCK TRAVER RD,ANN ARBOR,2019-04-23 03:45:00,LARCENY - FROM AUTO (LFA),-83.72793299961319,42.299491998633755
190016221,SHOPLIFTING,3073,RETAIL FRAUD THEFT 1ST DEGREE,A,3700 BLOCK WASHTENAW AVE,ANN ARBOR,2019-04-23 16:45:00,LARCENY - RETAIL FRAUD,-83.68619829988916,42.2570077001846
190016265,MOTOR VEHICLE THEFT,2404,VEHICLE THEFT UDAA (REPORTED BY YOUR JURISDICTION),A,HILL ST & S DIVISION ST,ANN ARBOR,2019-04-23 22:29:00,MOTOR VEHICLE THEFT / FRAUD,-83.74442869858234,42.271784299904084
190016229,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,300 BLOCK S STATE ST,ANN ARBOR,2019-04-23 16:45:00,LARCENY - RETAIL FRAUD,-83.7406207997389,42.2790151001912
190016265,DRIVING UNDER THE INFLUENCE,8031,OUID OPERATING UNDER THE INFLUENCE OF DRUGS,B,HILL ST & S DIVISION ST,ANN ARBOR,2019-04-23 22:29:00,OUI OF LIQUOR / DRUGS,-83.74442869858234,42.271784299904084
190016265,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,HILL ST & S DIVISION ST,ANN ARBOR,2019-04-23 22:29:00,ASSAULT - SIMPLE,-83.74442869858234,42.271784299904084
190016239,BURGLARY/BREAKING & ENTERING,2202,B&E - BURGLARY - FORCED ENTRY - RESIDENCE - HOME INVASION,A,800 BLOCK OAKLAND AVE,ANN ARBOR,2019-04-23 15:05:00,BURGLARY - RESIDENTIAL,-83.73971049942958,42.271566600112635
190016208,BURGLARY/BREAKING & ENTERING,2203,B&E - BURGLARY - FORCED ENTRY - NON-RESIDENCE,A,700 BLOCK N MAPLE RD,ANN ARBOR,2019-04-19 19:30:00,BURGLARY - ALL OTHER,-83.78085890002217,42.2876158994589
190016282,ALL OTHER,7380,NUISANCES ORD - NOISE / PROHIBITED HOURS / AREA,B,400 BLOCK S FIRST ST,ANN ARBOR,2019-04-24 04:23:00,OTHER - ORDINANCE VIOLATIONS,-83.75141169896858,42.277115001283505
190016266,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,300 BLOCK MAYNARD ST,ANN ARBOR,2019-04-23 22:14:00,PUBLIC PEACE,-83.74217549939095,42.278938299912
191000194,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,100 BLOCK S MAIN,ANN ARBOR,2019-04-23 00:00:00,LARCENY - ALL OTHER,-83.7488393006168,42.2812707003913
190016205,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,2304,LARCENY - PARTS & ACCESSORIES FROM VEHICLE - LFA,A,2100 BLOCK DEVONSHIRE RD,ANN ARBOR,2019-04-23 02:45:00,LARCENY - FROM AUTO (LFA),-83.71719460057437,42.268628000429544
190016290,INTIMIDATION,5215,INTIMIDATION - THREAT TO BOMB,A,2500 BLOCK N MAPLE RD,ANN ARBOR,2019-04-24 08:20:00,INTIMIDATION / STALKING,-83.77894320005777,42.30482000000342
190016233,FAMILY OFFENSE NONVIOLENT,3806,NEGLECT CHILD,B,300 BLOCK BRIARWOOD CIR,ANN ARBOR,2019-04-23 18:28:00,FAMILY OFFENSE,-83.74734700019161,42.23884000113702
190016233,ALL OTHER,5503,DRUGS - (OTHER) PRESCRIPTION,B,300 BLOCK BRIARWOOD CIR,ANN ARBOR,2019-04-23 18:28:00,HEALTH AND SAFETY,-83.74734700019161,42.23884000113702
190016233,SHOPLIFTING,3074,RETAIL FRAUD THEFT 2ND DEGREE,A,300 BLOCK BRIARWOOD CIR,ANN ARBOR,2019-04-23 18:28:00,LARCENY - RETAIL FRAUD,-83.74734700019161,42.23884000113702
190016261,TRESPASS OF REAL PROPERTY,5707,TRESPASS (OTHER),B,300 BLOCK S FIFTH AVE,ANN ARBOR,2019-04-23 22:11:00,TRESPASSING / INVASION OF PRIVACY,-83.74640339976122,42.27834699976239
190016267,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,300 BLOCK MAYNARD ST,ANN ARBOR,2019-04-23 22:04:00,PUBLIC PEACE,-83.74217549939095,42.278938299912
190016268,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2602,FRAUD - SWINDLE,A,200 BLOCK BUENA VISTA AVE,ANN ARBOR,2019-04-23 12:45:00,FRAUD,-83.76226010040733,42.27945099977592
190016380,ALL OTHER,5560,DOG LAW VIOLATIONS,B,2800 BLOCK N BAYLIS DR,ANN ARBOR,2019-04-24 16:59:00,HEALTH AND SAFETY,-83.72250789989056,42.241713199582364
190016313,RUNAWAY,7070,RUNAWAY,B,3600 BLOCK PACKARD,ANN ARBOR,2019-04-23 07:00:00,MISSING PERSON / RUNAWAY,-83.68809089976958,42.24485520100495
190016346,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,400 BLOCK E WASHINGTON ST,ANN ARBOR,2019-04-24 11:22:30,LARCENY - ALL OTHER,-83.74376350016405,42.28048290052732
190016398,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,200 BLOCK HIGHLAKE AVE,ANN ARBOR,2019-04-24 18:26:00,FRAUD,-83.78838809939413,42.280140699283265
190016285,ALL OTHER,8011,ACCIDENT - FAIL TO STOP AND IDENTIFY,B,S STATE ST & STIMSON ST,ANN ARBOR,2019-04-23 18:39:00,ACCIDENT - HIT & RUN,-83.74035819978428,42.260457998727986
190016440,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,1300 BLOCK E ELLSWORTH RD,ANN ARBOR,2019-04-24 16:15:00,LARCENY - ALL OTHER,-83.72254030000835,42.22976640015048
190016312,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,3600 BLOCK PLYMOUTH,ANN ARBOR,2019-04-24 09:45:00,LARCENY - ALL OTHER,-83.69030989883663,42.30697549983961
190016423,TRESPASS OF REAL PROPERTY,5707,TRESPASS (OTHER),B,300 BLOCK S FIFTH AVE,ANN ARBOR,2019-04-24 21:39:00,TRESPASSING / INVASION OF PRIVACY,-83.74640339976122,42.27834699976239
190016495,ALL OTHER,4999,ESCAPE/FLIGHT (OTHER),B,800 BLOCK W HURON ST,ANN ARBOR,2019-04-25 09:44:00,ESCAPE / FLIGHT,-83.756908800953,42.2814226999439
190016437,ROBBERY,1208,ROBBERY - RESIDENCE - OTHER WEAPON,A,2700 BLOCK ARROWWOOD TRL,ANN ARBOR,2019-04-24 22:30:00,ROBBERY,-83.72827509985689,42.308190600257035
190016483,FORCIBLE FONDLING,1178,CSC 4TH DEGREE -FORCIBLE CONTACT,A,ANN ARBOR ST,ANN ARBOR,2019-04-25 08:40:00,SEX OFFENSES - CSC,-83.74013389996884,42.27099690004155
190016592,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,2304,LARCENY - PARTS & ACCESSORIES FROM VEHICLE - LFA,A,ANN ARBOR SALINE RD & EB I94,ANN ARBOR,2019-04-25 03:25:00,LARCENY - FROM AUTO (LFA),-83.7777306996498,42.23398310048003
190016571,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,3071,RETAIL FRAUD MISREPRESENTATION 1ST DEGREE,A,700 BLOCK BRIARWOOD CIR,ANN ARBOR,2019-04-25 16:15:00,LARCENY - RETAIL FRAUD,-83.74599350127107,42.24165980038822
190016514,DRUG/NARCOTIC VIOLATIONS,3592,CRACK -POSSESS,A,200 BLOCK CHAPIN ST,ANN ARBOR,2019-04-25 11:01:00,DRUG OFFENSES,-83.7563606999604,42.283497000484886
190016466,ALL OTHER,4805,WITNESS -DISSUADING,B,600 BLOCK HIDDEN VALLEY CLUB DR,ANN ARBOR,2019-04-23 08:34:00,OBSTRUCTING POLICE,-83.7422420006327,42.246956199642966
190016497,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2602,FRAUD - SWINDLE,A,900 BLOCK HUTCHINS AVE,ANN ARBOR,2019-04-24 17:00:00,FRAUD,-83.7574065997627,42.26978869964921
190016500,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,100 BLOCK N INGALLS ST,ANN ARBOR,2019-04-25 00:12:30,LARCENY - FROM AUTO (LFA),-83.73815459977322,42.281819000384644
190016544,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,1300 BLOCK PACKARD ST,ANN ARBOR,2019-04-25 06:00:30,LARCENY - FROM AUTO (LFA),-83.73338209942307,42.26456489965835
190016522,ALL OTHER,5013,CONDITIONAL RELEASE VIOLATION,B,PONTIAC TRL & DHU VARREN RD,ANN ARBOR,2019-04-25 12:09:00,OBSTRUCTING JUSTICE,-83.73414070018089,42.31616020023006
190016537,ALL OTHER,5586,ANIMALS -CRUELTY TO,B,2400 BLOCK E STADIUM BLVD,ANN ARBOR,2019-04-25 13:25:00,HEALTH AND SAFETY,-83.7122336995393,42.25855359980466
190016512,DRUG/NARCOTIC VIOLATIONS,3562,MARIJUANA -POSSESS,A,N UNIVERSITY AVE & S STATE ST,ANN ARBOR,2019-04-25 10:57:00,DRUG OFFENSES,-83.74078600133953,42.27859319965745
190016596,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,1900 BLOCK PLYMOUTH RD,ANN ARBOR,2019-04-25 13:00:00,LARCENY - ALL OTHER,-83.71565789998778,42.30142439965891
190016638,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,1000 BLOCK BERKSHIRE RD,ANN ARBOR,2019-04-25 11:00:00,ASSAULT - SIMPLE,-83.71978900000613,42.26986339992078
190016457,CREDIT CARD/ATM,2605,FRAUD - ILLEGAL USE OF CREDIT CARD,A,2000 BLOCK W STADIUM BLVD,ANN ARBOR,2019-04-25 05:57:00,FRAUD,-83.773562900498,42.27072470005197
190016579,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,1300 BLOCK WILMOT ST,ANN ARBOR TWP,2019-04-25 06:30:00,LARCENY - FROM AUTO (LFA),-83.73271810100914,42.276765901014414
190016578,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,400 BLOCK HAMILTON PL,ANN ARBOR,2019-04-25 04:15:00,LARCENY - ALL OTHER,-83.7453748010218,42.27749550066682
190016635,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,700 BLOCK S STATE ST,ANN ARBOR,2019-04-26 03:57:00,PUBLIC PEACE,-83.7409140998052,42.27266819911745
190016587,CREDIT CARD/ATM,2605,FRAUD - ILLEGAL USE OF CREDIT CARD,A,300 BLOCK S STATE ST,ANN ARBOR,2019-04-24 14:17:30,FRAUD,-83.74043690007039,42.278798599404126
190016456,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,2000 BLOCK COMMERCE DR,ANN ARBOR,2019-04-25 02:15:00,LARCENY - FROM AUTO (LFA),-83.77743239956533,42.26943870037678
190016461,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,1800 BLOCK ARBORDALE ST,ANN ARBOR,2019-04-25 01:07:30,LARCENY - FROM AUTO (LFA),-83.77134399943128,42.27100700107826
190016645,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,2900 BLOCK ARROWWOOD TRL,ANN ARBOR,2019-04-25 12:15:00,DAMAGE TO PROPERTY,-83.72919059918513,42.30785210002642
191000197,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,2000 BLOCK COMMERCE BLVD,ANN ARBOR,2019-04-25 02:30:00,LARCENY - FROM AUTO (LFA),-83.77607339862476,42.26932419896053
190016680,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,500 BLOCK E HURON ST,ANN ARBOR,2019-04-26 12:55:00,FRAUD,-83.74257389983933,42.28150420024019
191000198,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,1900 BLOCK WEST LIBERTY ST,ANN ARBOR,2019-04-25 00:00:00,LARCENY - FROM AUTO (LFA),-83.77266660023952,42.275474800320694
190016737,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,3500 BLOCK WASHTENAW AVE,ANN ARBOR,2019-04-26 18:38:00,LARCENY - RETAIL FRAUD,-83.68976999987387,42.25743460073659
190016737,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,3079,"RETAIL FRAUD, REFUND/EXCHANGE 3RD DEGREE",A,3500 BLOCK WASHTENAW AVE,ANN ARBOR,2019-04-26 18:38:00,LARCENY - RETAIL FRAUD,-83.68976999987387,42.25743460073659
190016773,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,1300 BLOCK S UNIVERSITY AVE,ANN ARBOR,2019-04-26 22:50:00,ASSAULT - SIMPLE,-83.73282190038651,42.27456600001676
190016789,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,S STATE ST & MCKINLEY AVE,ANN ARBOR TWP,2019-04-27 00:17:00,ASSAULT - SIMPLE,-83.740523999387,42.267617299755216
190016785,ALL OTHER,5015,FAILURE TO APPEAR (FTA),B,500 BLOCK E WASHINGTON ST,ANN ARBOR,2019-04-26 23:52:00,OBSTRUCTING JUSTICE,-83.74267130019342,42.280004198787026
190016783,DRUG/NARCOTIC VIOLATIONS,3510,HEROIN- SELL/MANUFACTURE,A,FEDERAL BLVD & W STADIUM BLVD,ANN ARBOR,2019-04-26 23:47:00,DRUG OFFENSES,-83.77394139987399,42.2704151989268
190016736,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,2400 BLOCK ARROWWOOD TRL,ANN ARBOR,2019-04-26 18:28:00,ASSAULT - SIMPLE,-83.73218010005326,42.308838899613875
190016864,SHOPLIFTING,3074,RETAIL FRAUD THEFT 2ND DEGREE,A,600 BLOCK BRIARWOOD CIR,ANN ARBOR,2019-04-27 15:58:00,LARCENY - RETAIL FRAUD,-83.747743199632,42.24128790003624
190016783,DRUG/NARCOTIC VIOLATIONS,3590,CRACK -SELL,A,FEDERAL BLVD & W STADIUM BLVD,ANN ARBOR,2019-04-26 23:47:00,DRUG OFFENSES,-83.77394139987399,42.2704151989268
190016783,DRUG/NARCOTIC VIOLATIONS,3546,METHAMPHETAMINE - DELIVER,A,FEDERAL BLVD & W STADIUM BLVD,ANN ARBOR,2019-04-26 23:47:00,DRUG OFFENSES,-83.77394139987399,42.2704151989268
190016532,BURGLARY/BREAKING & ENTERING,2203,B&E - BURGLARY - FORCED ENTRY - NON-RESIDENCE,A,700 BLOCK PACKARD ST,ANN ARBOR,2019-04-24 22:30:00,BURGLARY - ALL OTHER,-83.74006339971254,42.27007069967436
190016773,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,1300 BLOCK S UNIVERSITY AVE,ANN ARBOR,2019-04-26 22:50:00,DAMAGE TO PROPERTY,-83.73282190038651,42.27456600001676
